Title,Reference No,OCID,Published by,Publication Date,Deadline Date,Deadline Time,Notice Type,Has Documents,Has ESPD,Abstract,Description of the procurement,Award criteria,Additional CPV code(s),Place of performance,Duration of the contract,Variants,Options,EU funds,Estimated date of publication of contract notice,Additional information,Date of dispatch of this notice,Information about Government Procurement Agreement (GPA)
Anti Racism Observatory for Scotland (AROS),APR503324,ocds-r6ebe6-0000751720,Scottish Government,18/04/2024,,,01 Prior Information Notice (PIN),Yes,No,"We are seeking a Supplier who can operate in the anti-racism arena showing strong ties and commitment to anti-racism from a corporate level down to all levels of their organisation  For avoidance of doubt the Host Organisation will be the Supplier.     The Scottish Government (on the recommendation of the Anti-Racism Interim Governance Group and built from the recommendation from the Covid19 and Ethnicity Expert Reference Group) is seeking to contract with a host organisation for a period of two years to incubate the Anti-Racism Observatory for Scotland (AROS) The AROS will be an independent organisation funded by the Scottish Government and will deliver its mission and strategy through the governance of an Advisory Group.Scottish Government (the Buyer) are fully funding AROS. Therefore the commercial relationship will be between Scottish Government and the Supplier.Further information can be found on the Scottish Government’s website Developing National Anti-Racism Infrastructure: Interim Governance Group - gov.scot (www.gov.scot) and Anti-Racism Vison Mission and Anti-Racism Method and Structure documents.The Supplier must provide the following services:Administrative, FinanceHuman Resources including Recruitment (excludes employment)Operational DeliveryAccommodation for AROS Staff andRecommendation ReportThis will include being responsible for holding/ring-fencing the allocated funding for the work of the AROS objectives and supporting the AROS to become a fully independent body. It will house senior staff (appointed by the advisory group) to lead the AROS workplan.CPV: 79610000, 79621000, 75100000, 66000000, 79414000.",The procurement will be an open tendering process.,,"79621000
75100000
66000000
79414000","NUTS code:
UKM",,,,,29/07/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=751720.,18/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Provision of an Independent Advocacy Service,APR502866,ocds-r6ebe6-0000763535,Fife Council,11/04/2024,10/05/2024,12:00,21 Social and other Specific Services - Contract Notice,Yes,Yes,"This Contract is for the provision of an Independent Advocacy Service to adults and children/young people across Fife. The requirement will support Fife HSCP in achieving the priorities set out in the Advocacy Strategy (2023-26) and in Fife Health and Social Care Strategic Plan (2023-26). This contract will help ensure that NHS Fife, Fife Council & Fife Health and Social Care Partnership meet their statutory obligations. It will also provide advocacy for a wider group of vulnerable people.CPV: 85000000, 85300000, 85310000, 85312000, 85311300, 85323000, 85312320, 85312300.","This Contract is for the provision of an Independent Advocacy Service to adults and children/young people across Fife. The requirement will support Fife HSCP in achieving the priorities set out in the Advocacy Strategy (2023-26) and in Fife Health and Social Care Strategic Plan (2023-26). This contract will help ensure that NHS Fife, Fife Council & Fife Health and Social Care Partnership meet their statutory obligations. It will also provide advocacy for a wider group of vulnerable people.",,"85300000
85310000
85312000
85311300
85323000
85312320
85312300","NUTS code:
UKM72

Main site or place of performance:
Fife, Scotland","Start:
                01/07/2024
End:
                30/06/2027",,,"The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763535.,11/04/2024,
Larriston Fell - Blanket Bog Restoration Project,MAY505853,ocds-r6ebe6-0000767407,Tweed Forum,23/05/2024,20/06/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"It is proposed to restore 70 hectares of upland blanket bog at Larriston Fell. This will involve using a mixture of ditch blocking and reprofiling and wave damming and zippering techniques.CPV: 45454100, 45454100, 45000000.",It is proposed to restore a 70 hectare area of blanket bog on Larriston Fell in the Scottish Borders. This will involve a mixture of ditch blocking and re-profiling and wave damming and zippering techniques.,"Criteria below:
Quality criterion: Quality
                    / Weighting: 60
Cost criterion: Price
                    / Weighting: 40","45454100
45000000","NUTS code:
UKM91

Main site or place of performance:
Larriston Fell","Start:
                04/11/2024
End:
                07/02/2025
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=767407.,23/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Consumers in Vulnerable Circumstances Research,JUN506941,ocds-r6ebe6-0000768188,Consumer Scotland,07/06/2024,12/07/2024,12:00,02 Contract Notice,Yes,Yes,Consumer Scotland wishes to commission a single supplier to deliver two to four social research projects per year relating to the experiences of  consumers living in vulnerable circumstances in Scotland.   The contract may also be used to provide support with Consumer Scotland’s other engagement activities with consumers in vulnerable circumstances such as organising and facilitating lived experience input to a specific activity such as a workshop.CPV: 79315000.,Consumer Scotland wishes to commission a single supplier Service Provider to deliver two to four social research projects per year relating to the experiences of  consumers living in vulnerable circumstances in Scotland.   The contract may also be used to provide support with Consumer Scotland’s other engagement activities with consumers in vulnerable circumstances such as organising and facilitating lived experience input to a specific activity such as a workshop. The contract is expected to commence at the beginning of August 2024 for a period of twelve (12) months. An option to extend the period of the contract until August 2027 has been included under clause 4.2 of the Terms and Conditions.,"Criteria below:
Quality criterion: Technical
                    / Weighting: 70
Price
                    
                      / Weighting: 
                      30",,"NUTS code:
UKM","Duration in months: 12
This contract is subject to renewal: Yes
Description of renewals:
The contract is expected to commence at the beginning of August 2024 for a period of twelve (12) months. An option to extend the period of the contract until August 2027 has been included under clause 4.2 of the Terms and Conditions.","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768188.,07/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Day respite services for children\young people in school holidays,MAY505916,ocds-r6ebe6-0000767454,East Lothian Council,24/05/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"East Lothian Council is seeking notes of interest from suitably experienced providers in relation to provision of day respite services for children\young people in East Lothian in school holidays.In keeping with The Promise and UNCRC, East Lothian Council would like to provide a service to children, young people and their families scaffolding support, providing respite from caring responsibilities, increasing resilience and likelihood of families remaining together. The provision would recognise the additional value to siblings and parents/ carers beyond the direct delivery of service to children and young people.It would be envisaged the provision would take the form of a group setting enhancing social opportunities for children and young people as well as providing structured activities to children and young people where mainstream activity would not be able to meet their needs.CPV: 85300000, 55243000, 85312120.","The service provision will require to meet outcomes for children and young people age 5-18 with severe, complex and enduring needs. It would be envisaged the provision would take the form of a group setting enhancing social opportunities for children and young people as well as providing structured activities to children and young people where mainstream activity would not be able to meet their needs.
It is projected that the provision would facilitate a service for around 10 -15 children from East Lothian and would provide a service during a significant part of the summer school holidays as well as Easter and October holiday periods.
As part of its market research and engagement the Council is interested in hearing from Providers who have successfully delivered day respite\playscheme or similar or are able to propose alternative approaches to meet outcomes in the above holiday day respite context.",,"55243000
85312120","NUTS code:
UKM73

Main site or place of performance:
East Lothian",,,,,04/11/2024,"Notes of interest from providers who may be interested in delivering these services, or have proposals in relation to these services, should be submitted by registering interest in this notice.",24/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Request for Information - New build housing and land acquisition (Fife Wide),MAY505445,ocds-r6ebe6-0000766901,Fife Council,16/05/2024,,,01 Prior Information Notice (PIN),Yes,No,"Fife Council Affordable Housing Programme is seeking notes of interest / call for sites from developers and or landowners (Fife Wide) to support delivery of its Affordable Housing objectives 2024 and beyond.CPV: 45211300, 45211300.","Fife Council Affordable Housing Programme is seeking notes of interest / call for sites from developers and or landowners (Fife Wide) to support delivery of its Affordable Housing Objectives.
Combined assessment has shown that affordable housing requirements in Fife for 594 homes per annum from 2018-2030.
Fife Council are interested to hear from Developers and Landowners that can help support delivery of its Affordable Housing Programme work streams (2022-24). The principle ones being:
- Purchase by Fife Council of units brought forward by
developers, either to meet planning obligations
(“Section 75”) or for 100% affordable housing sites",,45211300,"NUTS code:
UKM72

Main site or place of performance:
Fife Wide only",,,,,16/07/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=766901.,16/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Review and audit of internal IR35 processes,APR502427,ocds-r6ebe6-0000762906,Scottish Courts and Tribunals Service,04/04/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"We require the services of a company with specialist knowledge of IR35 legislation, case law and procedures to review and audit our internal IR35 processes. The company should have experience of supporting public sector organisations. They should be located in or able to operate in Scotland.CPV: 79140000, 79140000, 79111000, 66171000, 79221000, 79414000.","We require the services of a company with specialist knowledge of IR35 legislation, case law and procedures to review and audit our internal IR35 processes. The company should have experience of supporting public sector organisations. They should be located in or able to operate in Scotland.
The specialist should provide recommendations to improve our processes for assessing IR35 status and handling disputes in line with best practice and HMRC guidance based on a review of these processes and an audit of a sample of assessments conducted by SCTS.",,"79140000
79111000
66171000
79221000
79414000","NUTS code:
UKM75",,,,,01/05/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=762906.,04/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Dismantling, Transportation, and Conservation of outdoor bronze statutory statues",APR503666,ocds-r6ebe6-0000764570,Glasgow City Council,23/04/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),Yes,No,"The purpose of this PIN is to gather information that will assist in the development of a procurement strategy and tender that will deliver a solution for the dismantling, transportation, storage and conservation of 11 bronze statues on George Square in Glasgow as described in this Prior Information Notice.As part of the preparatory work in advance of the procurement, Glasgow City Council (GCC) would like to invite your organisation to participate in this market consultation exercise. The market engagement does not form part of the formal procurement process and will not impact on the evaluation of any future tender opportunity.CPV: 45111300, 90712400.","Consideration is being given through this PIN to organisations who are interested in one or all of the following requirements:
Specialist dismantling and removal/ transportation of outdoor historic bronze statues
Secure storage of bronze statues
Conservation of historic bronze statues
Specialist installation of historic bronze statues",,90712400,"NUTS code:
UKM82",,,,,24/04/2024,Please refer to and complete questionnaire and community benefits market  engagement menu,23/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Udny Green School – UFSM – Replacement Kitchen,APR503723,ocds-r6ebe6-0000764632,Aberdeenshire Council,24/04/2024,21/05/2024,10:30,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,Upgrade and extension to existing kitchen space to facilitate free school mealsCPV: 45000000.,Upgrade and extension to existing kitchen space to facilitate free school meals,"Criteria below:
Quality criterion: Experience in similar Construction Projects
                    / Weighting: 25
Quality criterion: Team Management \ Information control method statement
                    / Weighting: 15
Quality criterion: Innovation \ Value Engineering suggestions
                    / Weighting: 20
Quality criterion: Health & Safety track record
                    / Weighting: 20
Quality criterion: Community Benefits
                    / Weighting: 10
Quality criterion: BIM Level 2 Compliance Experience
                    / Weighting: 5
Quality criterion: Environmental Wellbeing (Climate Change Duties)
                    / Weighting: 5
Quality criterion: Fair Working Practices
                    / Weighting: Not Scored
Price
                    
                      / Weighting: 
                      70",,"NUTS code:
UKM50","Start:
                08/07/2024
End:
                16/08/2024
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764632.,24/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Community Panel/Group Facilitator,MAY506052,ocds-r6ebe6-0000767585,The City of Edinburgh Council,27/05/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),Yes,No,"The EH&SCP is looking to have lived/living experience panel which will enable the voice of lived/living experience to become central to decision making and to play a key part in influencing key strategic decisions.  This is a genuine commitment from the EADP (Edinburgh Alcohol and Drug Partnership) to encompassing the voice of lived/living experience within our existing structures.We are looking for a service provider who would be able to facilitate a community panel/reference group which would have the following remit.- Identifying and engaging with people with lived or living experience (i.e. past or current problem substance use, their own or a loved one’s)- Providing a safe, supported space for them to express their experiences.- Conveying these findings to decision-makersThe model was developed through a piece of work by EVOC and agreed with the EADP Executive in Feb 2024, which can be found for reference attached to this notice.As part of the MAT (Medically Assisted Treatment) Standard there was a requirement that a lived/living experience panel would be implemented, funding was allocated to allow this to happen.CPV: 85000000, 85100000, 85300000, 85310000, 85312000, 85312310, 85312320, 85323000.","The EH&SCP has agreed to fund up to 43,000 GBP per annum ringfenced from EADP allocation for three years for this service.
We anticipate the successful organisation would have:
This is a central element of the ADPs programme to hear the voices of people with lived and living experience. This programme is required of all ADPs and dedicated funding is provided for it. Annual reports on the ADP’s activity in this area are required.
The KPIs are expected to focus on four areas of measured activity:
- Organisation of regular panel meetings: KPIS might include: (meetings held, numbers and diversity of those attending, satisfaction of participants)
- Meeting attendance and representation of the panel on ADP groups: KPIs might include number of meetings attended/ representation achieved at them.
- Creating opportunities for decision makers to hear the voice of lived experience:  KPIs might include number of meetings and evaluation of their impact.
- Identifying and supporting people to participate in individual evaluation and consultation exercises. e.g. evaluating bids for grants etc.
KPI’s will be drawn up which will have clear expectations around the number of people engaged and reports on their satisfaction and participation.
The potential provider will have to have the experience, ethos, values expertise, and infrastructure to provide the panel. The potential provider will need to have the ability to engage with a wide range of groups, as we are looking for a grass roots approach whereby, we gain the expertise and knowledge of those within their local community.  To gain the views and contribution of those that are hard to reach or have a presence in their local community.",,"85100000
85300000
85310000
85312000
85312310
85312320
85323000","NUTS code:
UKM75",,,,,19/07/2024,Please register your interest via Public Contracts Scotland by clicking ‘Register my Interest’ on this Prior Information Notice.,27/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Procurement of 23L External Food Waste Containers,MAY505107,ocds-r6ebe6-0000766473,Aberdeenshire Council,13/05/2024,31/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"23L External Food CaddiesCPV: 34928480, 34928480.","The purpose of this quick quote is to invite bids from Scotland Excel Framework Suppliers for Recycle & Refuse Containers for the supply and delivery of 23L External Food Waste Containers in accordance with the requirements detailed in the attached Invitation to Mini-Comp (ITMC) document and the terms of the Framework Agreement. Please see the attached ITMC and Appendices for full details of this requirement.
To create an electronic response go to the following link https://www.publiccontractsscotland.gov.uk/supplier/postbox/ResponseWorkspace.aspx
The buyer has indicated that it will accept electronic responses to this notice via the Postbox facility. A user guide is available at https://www.publiccontractsscotland.gov.uk/sitehelp/help_guides.aspx.
Suppliers are advised to allow adequate time for uploading documents and to dispatch the electronic response well in advance of the closing time to avoid any last minute problems.","Criteria below:
Quality criterion: Quality
                    / Weighting: 30%
Price
                    
                      / Weighting: 
                      70%",34928480,"NUTS code:
UKM50

Main site or place of performance:
Aberdeenshire","Duration in months: 1
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=766473.,13/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Insurance programme: Motor, Casualty and Sundry policies",APR502519,ocds-r6ebe6-0000763088,The City of Edinburgh Council,05/04/2024,,,01 Prior Information Notice (PIN),No,No,"Motor, Casualty and Sundry policiesCPV: 66510000.","The City of Edinburgh Council will be carrying out an OJEU tender exercise late May 2024 for the following insurance programme: Motor, Casualty and sundry policies (PA & Travel). It will not include Engineering Inspection or Leased Property. The renewal date for the Council is 1st October annually.
We would like to advise you of upcoming pre-engagement session run by the Council prior to the publication of the insurance tender. The sessions are proposed to take place on the afternoon of 7th May and all day on 9th May and each session will last for approx. 1.5-2hrs.
The sessions are proposed to take place in person where possible at the Council’s brokers office (Aon, Edinburgh) and we are looking to gauge interest from bidders who may wish to attend. Where a meeting in person is not possible, we can accommodate via Teams.",,,"NUTS code:
UKM75",,,,,28/06/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at http://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763088.,05/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Financial and Performance Audit Management,APR503867,ocds-r6ebe6-0000764771,Audit Scotland,25/04/2024,,,01 Prior Information Notice (PIN),Yes,No,"Prior Information Notice to carry out market research and to gauge the number of potential suppliers and the associated indicative costs for providing, implementing, supporting and maintaining cloud based external Audit Administration software, tools and services.CPV: 72000000, 72000000.","Prior Information Notice to carry out market research and to gauge the number of potential suppliers and the associated indicative costs for providing, implementing, supporting and maintaining cloud based external Audit Administration software, tools and services.
See attached document (Audit Scotland AMP - Prior Information Notice) for further information.
Also attached separately is the Request for Information survey (Audit Scotland AMP -RFI)",,72000000,"NUTS code:
UKM",,,,,03/02/2025,Audit Scotland recognises the value of market participants having the opportunity to contribute to the development of the procurement strategy on a non-competitive and non-judgemental basis. It would be appreciated therefore if you could provide your views and comments on the questions set out in the attached separate Request for Information (RFI) Supplier Questionnaire. Responses to this questionnaire are required by 22nd May 2024.,25/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Media Services Framework,APR502325,ocds-r6ebe6-0000759388,Scottish Government,03/04/2024,,,01 Prior Information Notice (PIN),Yes,No,"The current Media Services Framework commenced on 1 September 2021 and is due to expire on 31 August 2025.This Framework is a national (Scotland wide) Framework covering the following services:- press cuttings services- broadcast services- online news media services- social media services- evaluation and analytics service- news distribution and online news room service- enquiry management serviceCPV: 79416000, 79416000, 79310000, 72310000, 72416000, 79330000, 92400000, 92200000, 72414000.","The current Media Services Framework commenced on 1 September 2021 and is due to expire on 31 August 2025.
This Framework is a national (Scotland wide) Framework, covering the following services:
- press cutting services
- broadcast services
- online news media services
- social media service
- evaluation and analytics service
- news distribution and online news room service
- enquiry management service",,"79416000
79310000
72310000
72416000
79330000
92400000
92200000
72414000","NUTS code:
UKM",,,,,28/10/2024,The Scottish Procurement & Property Directorate (SPPD) is the organisation tasked with procuring requirements on behalf of Scottish public sector bodies.,03/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"CE-52-24 TECHNICAL SITE PROVISION FOR THE INTERNATIONAL AYR SHOW,  LOW GREEN, AYR",APR503164,ocds-r6ebe6-0000763932,South Ayrshire Council,16/04/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),Yes,No,"TECHNICAL SITE PROVISION FOR THE INTERNATIONAL AYR SHOW,LOW GREEN, AYRCPV: 71356000, 71356400.",The Council is seeking notes of interest from suitably experienced technical site providers with the relative capability and capacity for the provision of various technical site provision requirements at the International Ayr Show – Festival of Flight which will take place on Friday 6 and Saturday 7 September 2024 at the Low Green in Ayr.,,71356400,"NUTS code:
UKM94",,,,,01/05/2024,"If you are interested in the above requirement, please complete the form below and return to procurement@south-ayrshire.gov.uk no later than Tuesday 30th April 2024.",16/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Provision of R.I.B and Skipper,JUN506828,ocds-r6ebe6-0000768656,Argyll and Bute Council,06/06/2024,13/06/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,Argyll and Bute Council invites tenders form marine service providers for the charter of a R.I.B and Skipper to service press officers during the Oban leg of the Clipper 2023 -2024 Round the World Yacht Race.CPV: 60651000.,"Argyll and Bute Council invites tenders form marine service providers for the charter of a R.I.B and Skipper to service press officers during the Oban leg of the Clipper 2023 -2024 Round the World Yacht Race.
Full details of requirement within the attached tender documents.",Price is not the only award criterion and all criteria are stated only in the procurement documents,,"NUTS code:
UKM63

Main site or place of performance:
Oban.","Start:
                12/07/2024
End:
                21/07/2024
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768656.,06/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
CE-101-24 - Whole Family Support Service,JUN507014,ocds-r6ebe6-0000768846,South Ayrshire Council,07/06/2024,,,01 Prior Information Notice (PIN),Yes,No,"South Ayrshire Council on behalf of South Ayrshire Health and Social Care Partnership (SAHSCP) is undertaking a market scoping exercise, under Regulation 41 of the Public Contracts (Scotland) Regulations 2015, seeking notes of interest from Providers of Family Support Services and Advocacy Services to Children and Young people.CPV: 85000000, 85000000, 85000000, 85000000.","South Ayrshire Council on behalf of South Ayrshire Health and Social Care Partnership (SAHSCP) is undertaking a market scoping exercise, under Regulation 41 of the Public Contracts (Scotland) Regulations 2015, seeking notes of interest from Providers of Family Support Services and Advocacy Services to Children and Young people.",,85000000,"NUTS code:
UKM94",,,,,01/09/2024,"If you are interested in the above requirement, please complete the attached expression of interest form and return, by email to procurement@south-ayrshire.gov.uk by Friday 2nd August 2024.",07/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Stonehaven Harbour Below Water Concrete Repairs,MAY504405,ocds-r6ebe6-0000765478,Aberdeenshire Council,02/05/2024,03/06/2024,09:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,Design and Construction of below Water Concrete Repairs of the piers at Stonehaven HarbourCPV: 45241000.,"Design and Construction of below Water Concrete Repairs at Stonehaven Harbour for a maximum budget of GBP200,000",Price is not the only award criterion and all criteria are stated only in the procurement documents,,"NUTS code:
UKM50

Main site or place of performance:
Stonehaven","Start:
                24/06/2024
End:
                31/03/2025
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=765478.,02/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Proposed Kitchen Refurbishment Works at Altduh Place, Blackburn for Castlehill Housing Association",JUN507002,ocds-r6ebe6-0000768832,Castlehill Housing Association,07/06/2024,05/07/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"The Works comprise the refurbishment of 16No kitchens comprising all joinery, plaster, plumbing and electrical works as requiredCPV: 45000000, 45000000.","The Works comprise the refurbishment of 16No kitchens comprising all joinery, plaster, plumbing and electrical works as required","Criteria below:
Quality criterion: Quality
                    / Weighting: 30
Price
                    
                      / Weighting: 
                      70",45000000,"NUTS code:
UKM50

Main site or place of performance:
1-16 Altduh Place
Blackburn
Aberdeenshire
AB21 0LP","Duration in months: 2
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768832.,07/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
SOWEC Communications Support,APR504176,ocds-r6ebe6-0000764854,Crown Estate Scotland,30/04/2024,31/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"This contract is to provide a package of communications support to Scottish Offshore Wind Energy Council (SOWEC).The contract will be managed by Crown Estate Scotland (CES) who currently provide the PMO function for SOWEC.CPV: 79416200, 79413000, 79416200.","This contract is to provide a package of communications support to SOWEC, made up of the following requirements:
1. Convene a SOWEC Communications expert group bringing together communications professionals from both public (Scottish Government and agencies) and private sector (developers and industry bodies) to coordinate and provide input to SOWEC communications activity (at least 3 meetings/yr).
2. Review and update as necessary the existing SOWEC Communication and Engagement Plan.
3. Coordinate SOWEC media releases, statements and respond to requests liaising with stakeholders (including Scottish Government) as required. These are likely to include:
a. Proactive announcements in relation to specific SOWEC initiatives and projects (around 10/yr)
b. Reactive comments on industry activity (for example, policy changes, CfD results, supply chain news) (around 10/yr)
4. Manage and add content to SOWEC communication channels, specifically to the SOWEC part of the Offshore Wind Scotland website (managed by HIE), and SOWEC LinkedIn page (2-3 posts/month).
5. Maintain and update as necessary a set of consistent SOWEC branding assets (presentation and document templates)
6. Maintain and update as necessary a set of SOWEC branded event assets
7. Coordinate SOWEC attendance and participation in key industry events as agreed in the Engagement Plan (likely 5-8 a year). Additional costs in relation to event attendance should be agreed in advance, with reference to an agreed day rate.
8. Other reasonable communications tasks as identified by SOWEC or PM0.
9. Align with, and provide support to ongoing Strategic Investment Model (SIM) communication activity as required
10. Deliver an SOWEC annual reception event at the Scottish Parliament (subject to Parliamentary availability).
11. Produce an annual review of SOWEC activity.
12. Participate in the SOWEC Project Management Office (PMO) meeting (bi-weekly online).
13. Provide updates to the SOWEC meetings (every 6 weeks alternating online/in-person).","Criteria below:
Quality criterion: Quality
                    / Weighting: 70
Price
                    
                      / Weighting: 
                      30","79413000
79416200","NUTS code:
UKM","Duration in months: 24
This contract is subject to renewal: Yes
Description of renewals:
This tender will be for a period of one year, with an option to extend for an additional one year.","Variants will be accepted:
            
              No","Options:
            
              Yes
Description of options:
There is an option to extend for a further 12 months after the initial 12 month contract period. The estimated contract value is 50,000 GBP per annum, so the 100,000 GBP estimated value includes the optional extension period.","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764854.,30/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
